"Game Title";"Console";"Year";"Genre";"Game_Company";"Type";"Console_Company";"Console Release Year";"Console Disco Year";"Consoles sold (million)";"North America_Sales";"Europe_Sales";"Japan_Sales";"Global_Sales"
"Breath of Fire: Dragon Quarter";"PS2";2002;"Role-Playing";"Capcom";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Jikkyou J-League Perfect Striker";"Nintendo 64";1996;"Sports";"Konami Digital Entertainment";"Home";"Nintendo";1996;2002;32.93;6.91;2.85;1.91;11.89
"Dante's Inferno";"PSP";2010;"Action";"Electronic Arts";"Handheld";"Sony";2004;2014;82.0;2.9;2.83;0.24;7.72
"Shrek: Forever After";"PS3";2010;"Platform";"Activision";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Rock Band Country Track Pack";"PS3";2009;"Misc";"MTV Games";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Super Robot Taisen: Scramble Commander";"PS2";2003;"Strategy";"Banpresto";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Re-Volt";"PS";1998;"Racing";"Acclaim Entertainment";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"Conception II: Children of the Seven Stars";"PlayStation Vita";2013;"Role-Playing";"Screenlife";"Handheld";"Sony";2011;2019;15.0;0.28;0.79;0.87;2.25
"Descent";"PS";1996;"Shooter";"Interplay";"Home";"Sony";1994;2006;102.49;4.02;3.87;2.54;10.95
"DanceMasters";"XBOX 360";2010;"Misc";"Konami Digital Entertainment";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"50 Cent: Blood on the Sand";"PS3";2009;"Shooter";"THQ";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Disney's Magical Mirror Starring Mickey Mouse";"Nintendo GameCube";2002;"Adventure";"Nintendo";"Home";"Nintendo";2001;2007;21.74;4.41;1.04;1.39;7.07
"Need for Speed: The Run";"Nintendo 3DS";2011;"Action";"Electronic Arts";"Handheld";"Nintendo";2011;2020;75.94;5.17;4.05;4.34;14.35
"Jeep Thrills";"Nintendo Wii";2008;"Racing";"Zoo Digital Publishing";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Conflict: Denied Ops";"PS3";2008;"Shooter";"Eidos Interactive";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"FaceBreaker";"XBOX 360";2008;"Fighting";"Electronic Arts";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
